Genes,ProtDesc,X5_vs_X5H,Diff_Abund,negLog10_sca_adjPval,sca.t,sca.P.Value,AveExpr,count,sca.adj.pval,P.Value,adj.P.Val,logFC
FGA,Fibrinogen alpha chain,1.74,Up in X5H,7.554,25.9097903292378,6.269916138159659e-11,22.75,43,2.79401052506729e-8,1.1298332009665901e-9,3.62768294301492e-7,1.74
FGB,Fibrinogen beta chain,1.48,Up in X5H,7.554,25.4353551694446,7.604981618411669e-11,22.63,28,2.79401052506729e-8,1.56668333589236e-9,4.41431680879765e-7,1.48
FRAS1,Extracellular matrix protein FRAS1,2.59,Up in X5H,7.554,25.3040146146451,8.027408978560759e-11,16.17,27,2.79401052506729e-8,8.810675403952031e-10,3.13274906647265e-7,2.59
LUM,Lumican,6.8,Up in X5H,7.554,25.5165605715247,7.355994900036889e-11,17.19,5,2.79401052506729e-8,5.31582823331006e-10,2.42843884202182e-7,6.8
HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,2.99,Up in X5H,7.54,25.0895832260717,8.773247348590319e-11,17.12,86,2.88396136453383e-8,9.000631085015211e-10,3.13274906647265e-7,2.99
APOA5,Apolipoprotein A-V,2.59,Up in X5H,7.356,23.9641976308303,1.41596635243005e-10,18.52,11,4.40961731964663e-8,1.17595338082819e-9,3.62768294301492e-7,2.59
OGN,Mimecan,3.97,Up in X5H,7.274,23.422908966347,1.7965183458447401e-10,15.88,4,5.31499952618166e-8,8.58124562515261e-10,3.13274906647265e-7,3.97
ANGPTL8,Angiopoietin-like protein 8,2.51,Up in X5H,7.057,22.2199711829068,3.10942749027727e-10,19.14,5,8.76118212379553e-8,1.22618994186747e-9,3.62768294301492e-7,2.51
CEMIP,Cell migration-inducing and hyaluronan-binding protein,4.67,Up in X5H,7.014,21.7680096611528,3.8495917670351403e-10,17.54,41,9.6866565487977e-8,2.8622731435649104e-9,6.77442807618942e-7,4.67
COL6A1,Collagen alpha-1(VI) chain,1.6,Up in X5H,7.014,21.8442950004833,3.71221704844976e-10,18.62,11,9.6866565487977e-8,3.1649940116951802e-9,7.20279598738475e-7,1.6
SEMA3B,Semaphorin-3B,2.03,Up in X5H,7.014,21.7252505748643,3.92901397956979e-10,17.25,8,9.6866565487977e-8,2.44386087746779e-9,6.57287491453495e-7,2.03
C,Capsid protein,6.54,Up in X5H,6.973,21.4427111166908,4.5010204980256006e-10,17.48,4,1.0653015314727e-7,2.67053548158285e-9,6.67259283556071e-7,6.54
HBA2,"Hemoglobin subunit alpha (Fragment);Hemoglobin subunit alpha (Fragment);HCG1745306, isoform CRA_a",2.15,Up in X5H,6.949,21.2524826623551,4.93712958059167e-10,20.92,7,1.12357675878311e-7,2.7064767289751e-9,6.67259283556071e-7,2.15
PCSK6,Proprotein convertase subtilisin/kexin type 6,2.18,Up in X5H,6.929,21.0796148811005,5.37368765239025e-10,17.82,11,1.17763369774789e-7,3.97896214059353e-9,8.71982184662663e-7,2.18
APOE,Apolipoprotein E,2.13,Up in X5H,6.927,20.998040585789,5.59419177361908e-10,22.67,28,1.18217259730372e-7,5.1595049390012504e-9,1.09031395443109e-6,2.13
GSN,Gelsolin,1.45,Up in X5H,6.916,20.8733792741937,5.95049303623589e-10,20.63,26,1.21410576880716e-7,7.651651706144871e-9,1.37196433773513e-6,1.45
FGG,Fibrinogen gamma chain,1.68,Up in X5H,6.897,20.7179511701749,6.42986800554129e-10,22.32,39,1.26818429962626e-7,7.253966288464041e-9,1.3413037040263e-6,1.68
COL18A1,Collagen alpha-1(XVIII) chain,1.24,Up in X5H,6.715,19.83411420427,1.00984171295259e-9,19.85,16,1.92749465017434e-7,1.16767972476746e-8,1.91921136984696e-6,1.24
HELB,DNA helicase B,4.84,Up in X5H,6.497,18.8348818509321,1.7225552131816502e-9,16.38,2,3.18511224887369e-7,5.92531601361429e-9,1.16866982841852e-6,4.84
EXT1,Exostosin-1,2.92,Up in X5H,6.467,18.6533225739245,1.9035376053019902e-09,15.37,4,3.41310060926421e-7,6.8072170295551e-9,1.29930010206056e-6,2.92
APOA4,Apolipoprotein A-IV,-1.44,Up in X5,6.272,-17.8061019443049,3.0722073626616702e-9,21.88,33,5.34654440143209e-7,2.94671568338603e-8,4.35892917464879e-6,-1.44
GPC6,Glypican-6,1.07,Up in X5H,6.228,17.5832648172757,3.49684980909482e-9,17.63,6,5.91167437726115e-7,5.891192184559031e-9,1.16866982841852e-6,1.07
FERMT3,Fermitin family homolog 3,3.77,Up in X5H,6.197,17.4136816044299,3.86292804111744e-9,15.24,5,6.3491514498033e-7,1.84225190931456e-8,2.86858014405638e-6,3.77
C8B,Complement component C8 beta chain,2.39,Up in X5H,6.027,16.7140736824239,5.88265990987037e-9,15.7,3,9.40748613154134e-7,1.03023697433317e-8,1.79291534621452e-6,2.39
NPNT,Nephronectin,3.48,Up in X5H,6.006,16.5579345879603,6.476091012940271e-9,15.82,9,9.8569681922246e-7,3.41640822511076e-8,4.93046035804399e-6,3.48
THBS4,Thrombospondin-4;Thrombospondin-4;Cartilage oligomeric matrix protein,3.99,Up in X5H,6.006,16.5527454625608,6.49690315188034e-9,16.21,3,9.8569681922246e-7,2.38371553214695e-8,3.61652430864449e-6,3.99
CES2,Cocaine esterase,-0.58,Up in X5,5.968,-16.3292270784767,7.46651208777569e-9,21.4,20,1.07754517130168e-6,2.70124935394564e-7,3.07371008217238e-5,-0.58
LDLR,Low-density lipoprotein receptor,1.27,Up in X5H,5.968,16.3393113160335,7.419518668353741e-9,17.36,13,1.07754517130168e-6,5.21916442272216e-8,7.35280854505881e-6,1.27
RBP1,Retinol-binding protein 1,1.49,Up in X5H,5.838,15.8203718212971,1.031727653696e-8,17.47,4,1.45350774450458e-6,1.11350763062645e-8,1.88246418583334e-6,1.49
COMP,Thrombospondin-4;Cartilage oligomeric matrix protein,4.62,Up in X5H,5.725,15.3886356342944,1.36787091020824e-8,16.79,11,1.88225399434934e-6,6.81396288294663e-8,9.37632985544075e-6,4.62
FAT1,Protocadherin Fat 1,0.97,Up in X5H,5.697,15.2550083102415,1.49484685492264e-8,17.01,45,2.01022928194937e-6,1.72913143075442e-7,2.08801442362733e-5,0.97
ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,3.61,Up in X5H,5.454,14.4053115523274,2.67448635515054e-8,15.41,3,3.51665239187239e-6,8.88310769356492e-8,1.19457609597326e-5,3.61
ACSM2A,"Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2A, mitochondrial;Acyl-coenzyme A synthetase ACSM2B, mitochondrial",-1.03,Up in X5,5.365,-14.0581241603747,3.42297860293207e-8,19.95,13,4.31659264742984e-6,2.1596286163685e-7,2.55570450461048e-5,-1.03
MFGE8,Lactadherin,2.43,Up in X5H,5.365,14.0557752449582,3.42876211643067e-8,16.04,4,4.31659264742984e-6,1.03736527180989e-7,1.36402006962203e-5,2.43
ASS1,Argininosuccinate synthase,1.12,Up in X5H,5.352,13.9856197941453,3.60650417022577e-8,18.32,8,4.44576774483873e-6,1.43220079005679e-7,1.80304937760979e-5,1.12
CLEC11A,C-type lectin domain family 11 member A,4.21,Up in X5H,5.341,13.9225825133131,3.77479807935839e-8,15.91,4,4.558261272564e-6,1.48877304865225e-7,1.8352229435157e-5,4.21
TLN1,Talin-1;Talin-1;Talin-2,0.84,Up in X5H,5.231,13.5493773859402,4.9641824229521e-8,20.07,11,5.87461347932152e-6,2.90698972319248e-7,3.18530707261665e-5,0.84
PLTP,Phospholipid transfer protein,4.29,Up in X5H,5.193,13.4070505999399,5.52066257365808e-8,15.84,1,6.40505106830095e-6,1.35688684622372e-7,1.7453694498056e-5,4.29
SERPINA7,Thyroxine-binding globulin,3.93,Up in X5H,5.129,13.1837336734902,6.53560817129955e-8,16.01,5,7.43676799030374e-6,2.57959815575874e-7,2.99283966424009e-5,3.93
C7,Complement component C7,4.66,Up in X5H,5.099,13.0681141764988,7.139554735167e-8,16.62,4,7.97070667320436e-6,2.75403569572871e-7,3.07464702106166e-5,4.66
ASCC3,Activating signal cointegrator 1 complex subunit 3,0.62,Up in X5H,5.092,13.0231066529139,7.39086845440911e-8,16.26,14,8.09847567495161e-6,7.10303330338475e-7,6.36797697820114e-5,0.62
F13A1,Coagulation factor XIII A chain,5.75,Up in X5H,5.047,12.8443358873009,8.48854370273847e-8,16.83,4,8.96905590876849e-6,3.33176965999772e-7,3.58437837785573e-5,5.75
ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,3.4,Up in X5H,5.047,12.8503791543014,8.44866569750654e-8,18.8,10,8.96905590876849e-6,3.54543195813023e-7,3.68040717478186e-5,3.4
RNF175,RING finger protein 175,1.9,Up in X5H,4.981,12.6270498295595,1.0067863961459e-7,18.12,1,1.04511493087637e-5,1.31397302127822e-8,2.10129145051438e-6,1.9
CYP51A1,Lanosterol 14-alpha demethylase,-0.53,Up in X5,4.918,-12.4172968831392,1.19001262743961e-7,20.91,24,1.20860384582959e-5,2.08118251624644e-6,1.4154433274287e-4,-0.53
FDFT1,Squalene synthase,-0.71,Up in X5,4.918,-12.3978296485415,1.20877573840697e-7,22.72,19,1.20860384582959e-5,1.08032514904054e-6,8.41089987746433e-5,-0.71
HSPB1,Heat shock protein beta-1,0.99,Up in X5H,4.918,12.3806948555038,1.22555738972072e-7,18.55,8,1.20860384582959e-5,4.36028514509893e-7,4.1612592263791e-5,0.99
FMOD,Fibromodulin,4.28,Up in X5H,4.866,12.1944743110614,1.42523039793869e-7,15.74,2,1.36017552654891e-5,4.28684950648455e-7,4.15824402129001e-5,4.28
MAN1A1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",0.98,Up in X5H,4.866,12.2090591832774,1.40837857220579e-7,21.08,21,1.36017552654891e-5,8.7343000103442e-7,7.17789627238981e-5,0.98
FGL1,Fibrinogen-like protein 1,4.79,Up in X5H,4.856,12.1459168173863,1.48293574557956e-7,16.06,9,1.39278266771337e-5,5.85384851044149e-7,5.41206588066911e-5,4.79
EHD4,EH domain-containing protein 4,0.88,Up in X5H,4.842,12.068264832709,1.58057001754397e-7,16.53,9,1.43880504520118e-5,6.26422838628003e-7,5.70237528640291e-5,0.88
STRAP,Serine-threonine kinase receptor-associated protein,0.46,Up in X5H,4.842,12.0802374309525,1.56507098780906e-7,19.35,19,1.43880504520118e-5,3.05650893468189e-6,1.944662727582e-4,0.46
OLFML3,Olfactomedin-like protein 3,2.19,Up in X5H,4.824,12.0000109119986,1.67217933137891e-7,15.51,3,1.49913410663167e-5,3.470453177383e-7,3.66690561617414e-5,2.19
PLG,Plasminogen,4.74,Up in X5H,4.771,11.8338738962144,1.92023877860966e-7,16.29,22,1.69582878403483e-5,7.5428502545913e-7,6.38712235020848e-5,4.74
ALDH6A1,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",-0.59,Up in X5,4.729,-11.7030792467403,2.14371747147624e-7,21.43,24,1.86534945275366e-5,2.43908267055395e-6,1.6035613512964e-4,-0.59
DCTN1,Dynactin subunit 1,0.5,Up in X5H,4.701,11.6094940894861,2.32093782822525e-7,18.39,32,1.99028827965345e-5,4.26901748562078e-6,2.5227768363171e-4,0.5
FBXO2,F-box only protein 2,0.87,Up in X5H,4.697,11.5815399988789,2.3769184218378e-7,18.61,15,2.00917518600203e-5,1.31643059778572e-6,9.61644425567667e-5,0.87
ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",-0.4,Up in X5,4.679,-11.4719345102714,2.61100905996784e-7,22.13,27,2.09429520914905e-5,7.90155080902222e-6,3.928863540923e-4,-0.4
L2HGDH,"L-2-hydroxyglutarate dehydrogenase, mitochondrial",-0.55,Up in X5,4.679,-11.4682968401703,2.61919630686209e-7,19.39,14,2.09429520914905e-5,2.19334009337197e-6,1.4747719696002e-4,-0.55
LCAT,Phosphatidylcholine-sterol acyltransferase,3.25,Up in X5H,4.679,11.5129731448202,2.52054754947964e-7,15.47,1,2.09429520914905e-5,4.58846479446532e-7,4.30951526807163e-5,3.25
SRPX2,Sushi repeat-containing protein SRPX2,3.05,Up in X5H,4.679,11.4803873230707,2.59209171420797e-7,15.66,3,2.09429520914905e-5,7.3007975198283e-7,6.38712235020848e-5,3.05
SERPINF1,Pigment epithelium-derived factor,1.36,Up in X5H,4.66,11.4010224115305,2.77575341043376e-7,19.38,16,2.18988439060488e-5,1.22285876200024e-6,9.2344142425069e-5,1.36
CPA1,Carboxypeptidase A1,2.75,Up in X5H,4.614,11.2664072011102,3.12045952478975e-7,15.26,1,2.42944197476065e-5,4.22913491836107e-7,4.15824402129001e-5,2.75
IGFALS,Insulin-like growth factor-binding protein complex acid labile subunit,3.8,Up in X5H,4.595,11.1866507950517,3.34645835993534e-7,14.87,2,2.5385889891971e-5,9.15808177745146e-7,7.42306436673703e-5,3.8
NOTUM,Palmitoleoyl-protein carboxylesterase NOTUM,2.7,Up in X5H,4.595,11.1929030667463,3.32811410112957e-7,18.15,10,2.5385889891971e-5,1.23291993435532e-6,9.2344142425069e-5,2.7
BHMT,Betaine--homocysteine S-methyltransferase 1;Betaine--homocysteine S-methyltransferase 1;S-methylmethionine--homocysteine S-methyltransferase BHMT2,3.74,Up in X5H,4.58,11.1322079000755,3.51092088437534e-7,15.71,2,2.62963530036062e-5,9.49257755193482e-7,7.48901084997311e-5,3.74
MTTP,Microsomal triglyceride transfer protein large subunit,-0.46,Up in X5,4.575,-11.0954345409351,3.62696881093871e-7,22.55,43,2.65859779318639e-5,7.38789552270902e-6,3.7521709964495e-4,-0.46
TFPI,Tissue factor pathway inhibitor,0.85,Up in X5H,4.575,11.0915549966224,3.63945278431803e-7,18.63,7,2.65859779318639e-5,9.47988144664177e-7,7.48901084997311e-5,0.85
HSD17B4,Peroxisomal multifunctional enzyme type 2,-0.38,Up in X5,4.555,-11.0252278127702,3.86027363145493e-7,21.95,40,2.78551696064863e-5,1.35184059824388e-5,5.9250672739326e-4,-0.38
PECR,Peroxisomal trans-2-enoyl-CoA reductase,-0.5,Up in X5,4.55,-10.9880810274117,3.99027480400494e-7,21.97,22,2.81712176632934e-5,5.16874225234602e-6,2.8318007321418e-4,-0.5
SERPINE1,Plasminogen activator inhibitor 1,1.37,Up in X5H,4.55,10.9824520281389,4.01038617158374e-7,17.51,8,2.81712176632934e-5,1.37484671414269e-6,9.92069269217351e-5,1.37
TSKU,Tsukushin,1.5,Up in X5H,4.55,10.9723088086627,4.04690468375856e-7,17.04,4,2.81712176632934e-5,7.66411503912121e-7,6.38712235020848e-5,1.5
RNF213,E3 ubiquitin-protein ligase RNF213,1.04,Up in X5H,4.525,10.8947594395939,4.3383462128596e-7,16.93,34,2.98488308621979e-5,2.2449619048295e-6,1.4925213023456e-4,1.04
ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",-0.6,Up in X5,4.483,-10.7509479076053,4.94102917682429e-7,21.89,21,3.28952731705313e-5,4.13079176120922e-6,2.4688782677853e-4,-0.6
APOM,Apolipoprotein M,0.97,Up in X5H,4.483,10.7494177677764,4.94791163119366e-7,20.78,8,3.28952731705313e-5,1.59193625137671e-6,1.1213674761185e-4,0.97
HSD17B12,Very-long-chain 3-oxoacyl-CoA reductase,-0.55,Up in X5,4.483,-10.7494393369206,4.94781454245054e-7,21.33,13,3.28952731705313e-5,3.32448169300496e-6,2.07062717658e-4,-0.55
AGRN,Agrin,2.03,Up in X5H,4.437,10.6004846212923,5.67038035409468e-7,15.35,2,3.65189465249022e-5,7.36794229238596e-7,6.38712235020848e-5,2.03
FOXRED1,FAD-dependent oxidoreductase domain-containing protein 1,-0.4,Up in X5,4.437,-10.5990031126889,5.67811911490789e-7,18.84,11,3.65189465249022e-5,4.10258748664657e-6,2.4688782677853e-4,-0.4
ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,5.03,Up in X5H,4.437,10.6015484094434,5.6648306518066e-7,16.19,1,3.65189465249022e-5,1.55386593314623e-6,1.1077379188465e-4,5.03
VWA1,von Willebrand factor A domain-containing protein 1,1.79,Up in X5H,4.407,10.5123694797443,6.15123602325143e-7,15.43,8,3.91364124189019e-5,2.07427308390995e-6,1.4154433274287e-4,1.79
NT5C2,Cytosolic purine 5'-nucleotidase,1,Up in X5H,4.304,10.2361282535056,7.96926689953096e-7,18.08,13,4.96359497310786e-5,3.23141527527198e-6,2.0340727855089e-4,1
STAT3,Signal transducer and activator of transcription 3,0.46,Up in X5H,4.304,10.2362120367044,7.96863404473467e-7,18.91,23,4.96359497310786e-5,9.79078068121097e-6,4.6663318108629e-4,0.46
SAMHD1,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,0.4,Up in X5H,4.296,10.2056047491765,8.20349815868077e-7,20.24,34,5.05626027134522e-5,1.7312361460633e-5,6.9214353217949e-4,0.4
PYGB,"Glycogen phosphorylase, liver form;Glycogen phosphorylase, brain form",0.6,Up in X5H,4.295,10.1925174034395,8.30620810451609e-7,21.12,37,5.06678694375481e-5,7.05469407301743e-6,3.727020074111e-4,0.6
BPIFB2,BPI fold-containing family B member 2,3.31,Up in X5H,4.269,10.1182685613069,8.91598594720603e-7,15.8,5,5.38325396424675e-5,2.80750316233319e-6,1.8056517621223e-4,3.31
P4HB,Protein disulfide-isomerase,-0.34,Non-significant,4.257,-10.079311553423,9.25522380638208e-7,24.45,51,5.53163224872351e-5,3.4454782427713e-5,9.9057060216296e-4,-0.34
GNPAT,Dihydroxyacetone phosphate acyltransferase,-0.79,Up in X5,4.24,-10.0271803374184,9.73128284670927e-7,15.6,6,5.75800006039788e-5,1.72351279453455e-6,1.1997676712071e-4,-0.79
ARMT1,Damage-control phosphatase ARMT1,0.71,Up in X5H,4.23,9.99314156860644,1.00564291546098e-6,18.1,9,5.89147438691348e-5,3.36121854320508e-6,2.0717010541817e-4,0.71
STIM1,Stromal interaction molecule 1,-0.37,Non-significant,4.201,-9.91437177705784,1.08549817419663e-6,20.04,16,6.29695362423674e-5,1.50918954001891e-5,6.453774067181e-4,-0.37
AGL,Glycogen debranching enzyme,0.77,Up in X5H,4.198,9.89070515744459,1.11081587542126e-6,17.56,31,6.34057742946042e-5,6.20443280781795e-6,3.3374208112598e-4,0.77
PGM2,Phosphoglucomutase-2,0.52,Up in X5H,4.198,9.88735614906076,1.1144499791514e-6,19.46,21,6.34057742946042e-5,9.28029094679245e-6,4.5019625310461e-4,0.52
TRMT6,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,0.71,Up in X5H,4.173,9.81047669300897,1.20152392924543e-6,16.33,11,6.70699725409925e-5,4.81179251441256e-6,2.6859788969602e-4,0.71
UGT1A1,UDP-glucuronosyltransferase 1-6;UDP-glucuronosyltransferase 1A1,-0.73,Up in X5,4.173,-9.81750100949146,1.19326959517603e-6,22.39,11,6.70699725409925e-5,4.7251153725428e-6,2.6745149345935e-4,-0.73
SUCLG2,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",-0.43,Up in X5,4.152,-9.75103193160967,1.27391061557351e-6,21.51,20,7.04460664705461e-5,1.46186177567742e-5,6.3280666264831e-4,-0.43
VPS35,Vacuolar protein sorting-associated protein 35,0.42,Up in X5H,4.137,9.70690254634169,1.33070462287982e-6,20.19,31,7.29053634590729e-5,1.96830796825186e-5,7.3711887646495e-4,0.42
ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",-0.4,Up in X5,4.129,-9.67735988893351,1.37025763250321e-6,22.28,21,7.43836184543258e-5,1.8438398829452e-5,7.1972611985511e-4,-0.4
CYP20A1,Cytochrome P450 20A1,-0.4,Up in X5,4.121,-9.65018832192521,1.40776375544151e-6,19.44,17,7.57248921904308e-5,1.6008044125885e-5,6.6703941614691e-4,-0.4
DPYSL2,Dihydropyrimidinase-related protein 2,0.42,Up in X5H,4.088,9.5663434222815,1.53069289972501e-6,21.87,29,8.15955845736297e-5,2.1015863990577e-5,7.6692332113367e-4,0.42
BCAP31,B-cell receptor-associated protein 31,-0.52,Up in X5,4.086,-9.55186120041261,1.55308151896508e-6,21.92,7,8.20498513188964e-5,2.54775396723809e-6,1.6566000246316e-4,-0.52
ATP5PO,"ATP synthase subunit O, mitochondrial",-0.4,Up in X5,4.08,-9.51824540847079,1.60643034930494e-6,22.33,12,8.31198828120949e-5,1.08924793085006e-5,5.0847235558471e-4,-0.4
CYP17A1,"Steroid 17-alpha-hydroxylase/17,20 lyase",-1.72,Up in X5,4.08,-9.51700124529123,1.60844261945005e-6,14.69,4,8.31198828120949e-5,3.61087271605592e-6,2.2026323567941e-4,-1.72
PARVA,Beta-parvin;Alpha-parvin,0.86,Up in X5H,4.08,9.51266424850399,1.61547854037365e-6,17.11,9,8.31198828120949e-5,5.14887274960113e-6,2.8318007321418e-4,0.86
PHB,Prohibitin,-0.38,Up in X5,4.058,-9.45413168401913,1.71377267276541e-6,23.38,28,8.74171802133871e-5,2.76092251015935e-5,8.6435865040279e-4,-0.38
LGALSL,Galectin-related protein,1.14,Up in X5H,4.057,9.44240651076332,1.73423197639515e-6,16.15,3,8.77047060199156e-5,1.15490022267656e-6,8.8747332695808e-5,1.14
KIF5B,Kinesin-1 heavy chain,0.41,Up in X5H,4.032,9.37844407061335,1.85060572892756e-6,19.15,35,9.2796899136139e-5,2.610569915796e-5,8.4872209844862e-4,0.41
ACAA2,"3-ketoacyl-CoA thiolase, mitochondrial",-0.47,Up in X5,4.011,-9.32250191140792,1.95934423061139e-6,21.56,22,9.74238639708201e-5,1.674349117167e-5,6.8324991215704e-4,-0.47
PYGL,"Glycogen phosphorylase, liver form;Glycogen phosphorylase, liver form;Glycogen phosphorylase, brain form",0.63,Up in X5H,4.007,9.30477779707237,1.99522551833562e-6,20.34,8,9.83812449332657e-5,5.26781329534548e-6,2.8596010338127e-4,0.63
PGM2L1,"Glucose 1,6-bisphosphate synthase",0.69,Up in X5H,3.979,9.23270217401479,2.14864932807955e-6,17.44,10,1.0507072788633e-4,7.4193680342167e-6,3.7521709964495e-4,0.69
ABCB6,"ATP-binding cassette sub-family B member 6, mitochondrial",-0.4,Up in X5,3.978,-9.22413427510102,2.16772136337867e-6,18.91,17,1.0513448612386e-4,2.13338376009205e-5,7.6970925051613e-4,-0.4
LSS,Lanosterol synthase,-0.57,Up in X5,3.945,-9.14320672694943,2.35719240634534e-6,20.54,31,1.1339436966134e-4,1.58416759147314e-5,6.6478862686145e-4,-0.57
TBCD,Tubulin-specific chaperone D,0.43,Up in X5H,3.943,9.12899854352656,2.39227218436922e-6,18,22,1.1415382673316e-4,2.27589360801479e-5,7.8778602092138e-4,0.43
EXT2,Exostosin-2,1.18,Up in X5H,3.922,9.07507061629925,2.53065822088713e-6,16.34,7,1.1979123754391e-4,6.89314795172295e-6,3.6744825612923e-4,1.18
HSPD1,"60 kDa heat shock protein, mitochondrial",-0.4,Up in X5,3.921,-9.06514553674299,2.55705982694783e-6,25.06,57,1.2008034123849e-4,3.63241942312908e-5,0.00102837443668205,-0.4
ADK,Adenosine kinase,0.59,Up in X5H,3.917,9.04933296320412,2.59974116815985e-6,19.97,12,1.2112337395277e-4,1.09136368361092e-5,5.0847235558471e-4,0.59
CHDH,"Choline dehydrogenase, mitochondrial",-0.37,Non-significant,3.914,-9.03635906369696,2.63533690983315e-6,21.34,22,1.2182256637095e-4,3.46593742131896e-5,9.9072230540793e-4,-0.37
UBR4,E3 ubiquitin-protein ligase UBR4,0.58,Up in X5H,3.907,9.01338907811366,2.69966007671633e-6,19,63,1.2382859437155e-4,1.77658993378635e-5,7.0456324462431e-4,0.58
CARS2,"Probable cysteine--tRNA ligase, mitochondrial",-0.36,Non-significant,3.9,-8.99010166185401,2.76661210159831e-6,20.69,17,1.2592341388582e-4,2.99076253644264e-5,9.0444506692613e-4,-0.36
ISYNA1,Inositol-3-phosphate synthase 1,0.73,Up in X5H,3.894,8.96675151405774,2.83555417319947e-6,18.34,10,1.2754434720019e-4,9.36574619482155e-6,4.5054569296552e-4,0.73
NFKB2,Nuclear factor NF-kappa-B p100 subunit,0.94,Up in X5H,3.894,8.96348832862961,2.84533612141712e-6,16.69,8,1.2754434720019e-4,8.00283494103908e-6,3.946064528844e-4,0.94
OAF,Out at first protein homolog,3.02,Up in X5H,3.89,8.94736072238308,2.89422107876746e-6,15.14,3,1.2876019641403e-4,7.35340116077601e-6,3.7521709964495e-4,3.02
CANX,Calnexin,-0.43,Up in X5,3.882,-8.9214338269135,2.97472622778793e-6,23.38,30,1.3135414246135e-4,3.00952166831923e-5,9.0444506692613e-4,-0.43
HBE1,Hemoglobin subunit epsilon,2.44,Up in X5H,3.876,8.90156095598208,3.03807478373107e-6,16.12,1,1.3315769255805e-4,4.30624405049911e-6,2.5227768363171e-4,2.44
AK4,"Adenylate kinase 4, mitochondrial",-0.41,Up in X5,3.871,-8.88496967000598,3.09208219944346e-6,23.05,18,1.3452831157431e-4,2.602781519973e-5,8.4872209844862e-4,-0.41
NUDT8,Nucleoside diphosphate-linked moiety X motif 8,-0.58,Up in X5,3.869,-8.87261048257593,3.13298898813514e-6,17.68,8,1.3531310834157e-4,7.85371179819171e-6,3.928863540923e-4,-0.58
