"Genes","ProtDesc","logFC","Diff_Abund","negLog10_sca_adjPval","sca.t","sca.P.Value","AveExpr","count","sca.adj.pval","P.Value","adj.P.Val"
"NOC4L","Nucleolar complex protein 4 homolog",-0.57,"Up in X3H",7.265,-25.5344065681863,1.01066261917997e-10,18.26,19,5.43644610698898e-08,1.60797190158046e-08,3.39798919344699e-06
"UTP20","Small subunit processome component 20 homolog",-0.71,"Up in X3H",7.156,-24.7079895418503,1.41575752585594e-10,18.22,35,6.980864400408e-08,1.26143478240255e-08,2.87649114516386e-06
"NCAPG","Condensin complex subunit 3",-2.24,"Up in X3H",7.106,-24.241625491136,1.72069966305813e-10,15.47,9,7.83183069716534e-08,1.33748388795117e-09,7.19444742273372e-07
"MCM3","DNA replication licensing factor MCM3",-1.38,"Up in X3H",7.059,-23.8102455067598,2.06767807063063e-10,18.08,22,8.73889367422961e-08,2.99113717000634e-09,1.36142758730212e-06
"GTF2I","General transcription factor II-I",-0.51,"Up in X3H",6.96,-23.1325202304973,2.77770188266179e-10,19.92,27,1.09571080264732e-07,6.22473978405444e-08,6.38170377635589e-06
"HCFC1","Host cell factor 1",-0.7,"Up in X3H",6.907,-22.7145928336926,3.3462857445464e-10,18.41,22,1.23749829690507e-07,1.66874762544333e-08,3.40482058612006e-06
"PCCA","Propionyl-CoA carboxylase alpha chain, mitochondrial",0.48,"Up in X5H",6.777,21.9227487544801,4.80630125848371e-10,19.49,28,1.67287556155577e-07,1.03409599440731e-07,8.15832799854409e-06
"LAD1","Ladinin-1",-1.19,"Up in X3H",6.753,-21.6847372055578,5.37211238129545e-10,18.35,14,1.76593272000696e-07,6.04281063894051e-09,1.88185845003216e-06
"HBB","Hemoglobin subunit beta",1.94,"Up in X5H",6.723,21.4229762773537,6.07986364896089e-10,23.89,10,1.89339753741587e-07,4.4478603920228e-09,1.67661615907679e-06
"ADSS1","Adenylosuccinate synthetase isozyme 1",2.67,"Up in X5H",6.712,21.2623552755428,6.56429081675331e-10,16.34,9,1.94204543813647e-07,4.53369250384125e-09,1.67661615907679e-06
"POFUT2","GDP-fucose protein O-fucosyltransferase 2",0.78,"Up in X5H",6.637,20.8048150557303,8.19155441156999e-10,19.29,13,2.30806797396475e-07,1.26396433622208e-08,2.87649114516386e-06
"CES2","Cocaine esterase",0.59,"Up in X5H",6.632,20.2019256032734,1.10467859835832e-09,20.82,20,2.33442259517363e-07,5.27801418877863e-08,5.89245470849116e-06
"MCM4","DNA replication licensing factor MCM4",-1.39,"Up in X3H",6.632,-20.6052492323378,9.03550329815344e-10,17.68,19,2.33442259517363e-07,9.36876255803082e-09,2.6296758368326e-06
"MCM7","DNA replication licensing factor MCM7",-1.47,"Up in X3H",6.632,-20.2334552938133,1.08730873921123e-09,18.45,20,2.33442259517363e-07,1.05894679800083e-08,2.6296758368326e-06
"MTTP","Microsomal triglyceride transfer protein large subunit",0.65,"Up in X5H",6.632,20.2245442216067,1.09218740535924e-09,21.99,43,2.33442259517363e-07,5.65122136055169e-08,5.97112085542577e-06
"RBM28","RNA-binding protein 28",-0.61,"Up in X3H",6.632,-20.466090917689,9.68014439018976e-10,18.41,18,2.33442259517363e-07,3.77624112364996e-08,5.19628342526437e-06
"RSL1D1","Ribosomal L1 domain-containing protein 1",-0.64,"Up in X3H",6.632,-20.4974338214063,9.53067859778821e-10,21.5,22,2.33442259517363e-07,4.10360781558832e-08,5.39620799863469e-06
"TACC1","Transforming acidic coiled-coil-containing protein 1",-1.17,"Up in X3H",6.632,-20.2345415625562,1.08671565683946e-09,17.43,8,2.33442259517363e-07,5.52878080615279e-09,1.81743311277811e-06
"ACSM3","Acyl-coenzyme A synthetase ACSM3, mitochondrial",0.94,"Up in X5H",6.551,19.7674679566525,1.37764616191126e-09,17.57,10,2.81087322069963e-07,1.02694754882441e-08,2.6296758368326e-06
"GALK1","Galactokinase",0.85,"Up in X5H",6.549,19.6905179612914,1.43328537812902e-09,20.47,19,2.82691652746314e-07,2.42880396188767e-08,3.77584674819335e-06
"MTHFD2","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",-0.92,"Up in X3H",6.536,-19.5688909117255,1.52630714447927e-09,19.19,7,2.91327721738189e-07,3.95000658092509e-09,1.66944206709527e-06
"P4HA1","Prolyl 4-hydroxylase subunit alpha-1",0.73,"Up in X5H",6.502,19.3608754002826,1.70107979972374e-09,22.29,39,3.14540286717668e-07,5.00265290730669e-08,5.89245470849116e-06
"DBN1","Drebrin",-1.34,"Up in X3H",6.492,-19.2013759048268,1.84992036743556e-09,17.1,11,3.21940553356358e-07,1.34814382612724e-08,2.95443222933145e-06
"ITGAV","Integrin alpha-V",-1,"Up in X3H",6.492,-19.2263854056941,1.82566930871994e-09,18.17,22,3.21940553356358e-07,2.43805077164502e-08,3.77584674819335e-06
"ICAM1","Intercellular adhesion molecule 1",-0.53,"Up in X3H",6.49,-19.0822445057919,1.97037829762041e-09,21.76,21,3.2385356630611e-07,1.08194855252031e-07,8.28241176218025e-06
"RACK1","Receptor of activated protein C kinase 1",-0.63,"Up in X3H",6.49,-19.1161099533447,1.93528583053865e-09,22.79,24,3.2385356630611e-07,7.01238010563729e-08,6.55460085465204e-06
"CTNND1","Catenin delta-1",-0.46,"Up in X3H",6.42,-18.6774318391803,2.44834174873175e-09,20.57,35,3.79914375262168e-07,2.78332619996487e-07,1.46008617948769e-05
"FABP1","Fatty acid-binding protein, liver",0.93,"Up in X5H",6.42,18.6359407292796,2.5040832576009e-09,24.86,8,3.79914375262168e-07,1.06662531830289e-08,2.6296758368326e-06
"MYBBP1A","Myb-binding protein 1A",-0.53,"Up in X3H",6.42,-18.6385721307355,2.50050717181297e-09,19.94,33,3.79914375262168e-07,1.59094063426268e-07,1.07739200293822e-05
"KPNA2","Importin subunit alpha-1",-1.23,"Up in X3H",6.41,-18.5443958677292,2.63204282820973e-09,18.3,19,3.89344935362924e-07,2.4887277873845e-08,3.77584674819335e-06
"PSAP","Prosaposin",-0.64,"Up in X3H",6.393,-18.4279012119172,2.80532200530906e-09,21.86,20,4.04855861107651e-07,7.20042345026842e-08,6.55460085465204e-06
"VASN","Vasorin",-1.02,"Up in X3H",6.297,-17.9892186219813,3.57898110601544e-09,18.93,11,5.04210266768889e-07,2.61898082853185e-08,3.87412739060574e-06
"PCNA","Proliferating cell nuclear antigen",-0.89,"Up in X3H",6.296,-17.9419327047651,3.67541266660785e-09,20.91,11,5.05753877867875e-07,2.86867340094582e-08,4.13998549107229e-06
"CLTB","Clathrin light chain B",-0.9,"Up in X3H",6.29,-17.8355172167622,3.9029847528901e-09,19.45,7,5.13199128507793e-07,1.04528809425987e-08,2.6296758368326e-06
"DDX27","Probable ATP-dependent RNA helicase DDX27",-0.57,"Up in X3H",6.29,-17.8587983941022,3.85191158429186e-09,19.82,26,5.13199128507793e-07,1.49660794962986e-07,1.07739200293822e-05
"WDR46","WD repeat-containing protein 46",-0.87,"Up in X3H",6.255,-17.6557601560837,4.3231883738264e-09,17.93,15,5.56093600172409e-07,4.65086900087659e-08,5.61616160779322e-06
"CLYBL","Citramalyl-CoA lyase, mitochondrial",0.87,"Up in X5H",6.251,17.6032451520235,4.45510367690952e-09,18.68,9,5.60869116090928e-07,2.39630505076191e-08,3.77584674819335e-06
"CAPRIN1","Caprin-1",-0.6,"Up in X3H",6.237,-17.5103104863136,4.69946682939852e-09,18.63,9,5.79307192282314e-07,2.30278404418335e-08,3.77584674819335e-06
"CCAR2","Cell cycle and apoptosis regulator protein 2",-0.45,"Up in X3H",6.216,-17.2603082007022,5.4326595530786e-09,19.59,24,6.08519436363125e-07,3.78340375055484e-07,1.74893749937758e-05
"H6PD","GDH/6PGL endoplasmic bifunctional protein",0.54,"Up in X5H",6.216,17.3160083610825,5.25908797737723e-09,19.51,25,6.08519436363125e-07,1.98014624077429e-07,1.2824672876056e-05
"HEATR1","HEAT repeat-containing protein 1",-0.53,"Up in X3H",6.216,-17.2527362158162,5.45673477779414e-09,19.14,43,6.08519436363125e-07,2.64245950957853e-07,1.46008617948769e-05
"NOL11","Nucleolar protein 11",-0.82,"Up in X3H",6.216,-17.2478662947682,5.47228036517556e-09,17.81,18,6.08519436363125e-07,6.83041156389642e-08,6.51863632638308e-06
"TOP2A","DNA topoisomerase 2-alpha;DNA topoisomerase 2-alpha;DNA topoisomerase 2-beta",-0.76,"Up in X3H",6.216,-17.3397872950981,5.18684290826439e-09,18.67,10,6.08519436363125e-07,3.48907686010703e-08,4.91544470982221e-06
"XRN2","5'-3' exoribonuclease 2",-0.49,"Up in X3H",6.216,-17.2226668542128,5.55349832070453e-09,19.26,25,6.08519436363125e-07,2.77665835846661e-07,1.46008617948769e-05
"EXOSC10","Exosome component 10",-0.53,"Up in X3H",6.187,-17.0706566927406,6.07225800981895e-09,18.67,22,6.4968930116704e-07,2.13977063474163e-07,1.29194110671084e-05
"PES1","Pescadillo homolog",-0.55,"Up in X3H",6.187,-17.0194845696348,6.25862602104467e-09,19,15,6.4968930116704e-07,1.28514642556667e-07,9.38791530873824e-06
"TNS1","Tensin-3;Tensin-1",1.12,"Up in X5H",6.187,17.029423782798,6.22194394214772e-09,17.86,12,6.4968930116704e-07,4.37752212158974e-08,5.39620799863469e-06
"ACAD10","Acyl-CoA dehydrogenase family member 10",1,"Up in X5H",6.168,16.9138515679142,6.66342687689127e-09,16.87,13,6.79784428113201e-07,5.2379870443893e-08,5.89245470849116e-06
"COIL","Coilin",-0.84,"Up in X3H",6.164,-16.8699065389238,6.84018593794347e-09,17.91,12,6.85989494827314e-07,5.60461893068666e-08,5.97112085542577e-06
"ALDH6A1","Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",0.54,"Up in X5H",6.144,16.6755753814865,7.68569565271636e-09,20.87,24,7.17212099112954e-07,2.49511423334749e-07,1.41957604987665e-05
"FTSJ3","pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3",-0.55,"Up in X3H",6.144,-16.7210564607339,7.47804398501073e-09,19.36,21,7.17212099112954e-07,2.05154194667045e-07,1.2824672876056e-05
"GLT8D1","Glycosyltransferase 8 domain-containing protein 1",0.73,"Up in X5H",6.144,16.7141837902202,7.50902518076583e-09,18.73,12,7.17212099112954e-07,6.75846619109455e-08,6.51863632638308e-06
"SNAP23","Synaptosomal-associated protein 23",-0.83,"Up in X3H",6.144,-16.6813999157244,7.65875430754296e-09,19.02,7,7.17212099112954e-07,1.89375224296741e-08,3.64076737706514e-06
"TOP1","DNA topoisomerase 1",-0.48,"Up in X3H",6.144,-16.6601439802387,7.75757551854471e-09,21.12,27,7.17212099112954e-07,3.90595116991539e-07,1.77755904772859e-05
"MYH9","Myosin-9;Myosin-9;Myosin-9;Myosin-9;Myosin-10;Myosin-10;Myosin-10",-0.63,"Up in X3H",6.142,-16.600514140317,8.04231709837368e-09,19.91,10,7.21005913198137e-07,5.44956092238826e-08,5.97112085542577e-06
"RPL27A","60S ribosomal protein L27a",-0.75,"Up in X3H",6.142,-16.6015459208247,8.03729416524955e-09,22.78,10,7.21005913198137e-07,5.13817700174609e-08,5.89245470849116e-06
"TKFC","Triokinase/FMN cyclase",0.56,"Up in X5H",6.12,16.4938601339245,8.58051577683468e-09,22.74,33,7.57774803754191e-07,2.71838512136577e-07,1.46008617948769e-05
"CPQ","Carboxypeptidase Q",0.83,"Up in X5H",6.117,16.454661081172,8.78811249062238e-09,19.81,7,7.64695023632539e-07,2.20935010668565e-08,3.77584674819335e-06
"EPHA7","Ephrin type-A receptor 7",4.28,"Up in X5H",6.105,16.3891917161221,9.14718067946833e-09,16.53,1,7.84403885223393e-07,2.25183591156685e-08,3.77584674819335e-06
"HMOX1","Heme oxygenase 1",-1.18,"Up in X3H",6.093,-16.3174533630567,9.55913749745304e-09,19.82,8,8.08020236748995e-07,4.36629986299228e-08,5.39620799863469e-06
"BAG2","BAG family molecular chaperone regulator 2",-0.58,"Up in X3H",6.082,-16.2558694629597,9.92898155777274e-09,20.15,12,8.27461744751286e-07,1.09336602296725e-07,8.28241176218025e-06
"GAA","Lysosomal alpha-glucosidase",0.58,"Up in X5H",6.071,16.1737621787271,1.04466111452558e-08,20.77,19,8.4866398554271e-07,2.09155524204158e-07,1.28913878824584e-05
"MPST","3-mercaptopyruvate sulfurtransferase",0.42,"Up in X5H",6.071,16.1701192882712,1.04702502863981e-08,20.88,22,8.4866398554271e-07,6.52078248732991e-07,2.42663333192019e-05
"HNRNPA0","Heterogeneous nuclear ribonucleoprotein A0",-0.63,"Up in X3H",6.032,-16.0038215477225,1.16141892653687e-08,22.17,12,9.2866429571874e-07,1.10581465136427e-07,8.28241176218025e-06
"EIF3B","Eukaryotic translation initiation factor 3 subunit B",-0.52,"Up in X3H",6.02,-15.9178050821767,1.2258917439994e-08,19.47,32,9.5442124332164e-07,4.2577215215337e-07,1.83567542165566e-05
"RRP12","RRP12-like protein",-0.47,"Up in X3H",6.02,-15.9299618407182,1.21654707910686e-08,19.22,29,9.5442124332164e-07,5.45167958067863e-07,2.18830205543752e-05
"RPL23","60S ribosomal protein L23",-0.89,"Up in X3H",6.02,-15.8956309523764,1.24313919741353e-08,22.02,11,9.55279822220243e-07,8.11266629549839e-08,7.0592127162447e-06
"DDX21","ATP-dependent RNA helicase DDX50;Nucleolar RNA helicase 2",-0.83,"Up in X3H",5.999,-15.7979844605789,1.32230939323496e-08,19.98,36,1.00309034356042e-06,1.60234064996727e-07,1.07739200293822e-05
"PSME3","Proteasome activator complex subunit 3",-0.62,"Up in X3H",5.988,-15.7203834082329,1.38915837262744e-08,20.58,17,1.02745626135457e-06,2.05460608468892e-07,1.2824672876056e-05
"RPL7A","60S ribosomal protein L7a",-0.4,"Up in X3H",5.988,-15.7292156986883,1.38136684066447e-08,22.27,24,1.02745626135457e-06,9.36868945051595e-07,3.01274649340776e-05
"NOP2","Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase",-0.55,"Up in X3H",5.986,-15.6919451378798,1.41457355457227e-08,20.25,23,1.03333724967952e-06,3.29265850960949e-07,1.61013722325284e-05
"PTCD1","Pentatricopeptide repeat-containing protein 1, mitochondrial",-0.78,"Up in X3H",5.937,-15.4994022101602,1.60060913397585e-08,17.68,9,1.15497612752867e-06,7.6468841613306e-08,6.85554751251412e-06
"SLC27A2","Very long-chain acyl-CoA synthetase",0.93,"Up in X5H",5.922,15.4258279005574,1.67862053288133e-08,18.56,14,1.19667442085046e-06,1.24627273522843e-07,9.21774471793324e-06
"DDX47","Probable ATP-dependent RNA helicase DDX47",-0.6,"Up in X3H",5.917,-15.3705345683792,1.73998128076749e-08,18.93,14,1.21123167509426e-06,2.05905682478506e-07,1.2824672876056e-05
"SULT2A1","Sulfotransferase 2A1",0.9,"Up in X5H",5.917,15.3714945104292,1.73889533697155e-08,19.67,11,1.21123167509426e-06,1.08048791108917e-07,8.28241176218025e-06
"SARNP","SAP domain-containing ribonucleoprotein",-0.77,"Up in X3H",5.915,-15.347634403872,1.76610819098165e-08,20.9,6,1.21512350767889e-06,1.90744952998174e-08,3.64076737706514e-06
"NIFK","MKI67 FHA domain-interacting nucleolar phosphoprotein",-0.68,"Up in X3H",5.89,-15.241678865969,1.89270114592407e-08,18.81,12,1.28725433108422e-06,1.53588441772663e-07,1.07739200293822e-05
"CCT3","T-complex protein 1 subunit gamma",-0.45,"Up in X3H",5.878,-15.1662503898666,1.98885149343491e-08,21.71,23,1.32548535977351e-06,7.44765100913698e-07,2.62308041792045e-05
"CKB","Creatine kinase B-type",-1.58,"Up in X3H",5.878,-15.1455838513392,2.01611766739252e-08,18.51,9,1.32548535977351e-06,9.97544124345714e-08,8.15832799854409e-06
"NAGLU","Alpha-N-acetylglucosaminidase",0.86,"Up in X5H",5.878,15.1604579478788,1.99645283870712e-08,17.15,20,1.32548535977351e-06,1.81536186513432e-07,1.20690968044941e-05
"NDRG1","Protein NDRG1",0.71,"Up in X5H",5.877,15.1102120416475,2.06373730271616e-08,20.32,7,1.3286268024043e-06,4.23963471394353e-08,5.39620799863469e-06
"SF3B1","Splicing factor 3B subunit 1",-0.35,"Non-significant",5.877,-15.1086966075485,2.0658047291059e-08,21.4,42,1.3286268024043e-06,2.48745397451506e-06,5.57510044212334e-05
"CCT7","T-complex protein 1 subunit eta",-0.38,"Up in X3H",5.861,-15.0396928851809,2.16238231050521e-08,21.42,31,1.37578668078057e-06,1.66021624982743e-06,4.14493651908393e-05
"MATR3","Matrin-3",-0.48,"Up in X3H",5.831,-14.9185046774061,2.34415150421251e-08,20.8,32,1.47556855855589e-06,7.58716871974276e-07,2.63027434964267e-05
"CCT4","T-complex protein 1 subunit delta",-0.41,"Up in X3H",5.821,-14.8564159770856,2.44368942580981e-08,21.48,25,1.50879793006154e-06,1.1773634994957e-06,3.44874248837428e-05
"KNOP1","Lysine-rich nucleolar protein 1",-1.06,"Up in X3H",5.821,-14.8487492053702,2.45629723342507e-08,16.8,8,1.50879793006154e-06,1.02079355572175e-07,8.15832799854409e-06
"ZC3H4","Zinc finger CCCH domain-containing protein 4",-0.73,"Up in X3H",5.821,-14.8383938611767,2.47343922960909e-08,16.79,6,1.50879793006154e-06,2.36792740501491e-08,3.77584674819335e-06
"GNL3","Guanine nucleotide-binding protein-like 3",-0.51,"Up in X3H",5.78,-14.6592491491565,2.79164548483254e-08,19.94,22,1.65892357671167e-06,6.02528208556956e-07,2.30010284518162e-05
"MAK16","Protein MAK16 homolog",-0.64,"Up in X3H",5.78,-14.673292743395,2.76515092105029e-08,18.13,10,1.65892357671167e-06,1.58067125481017e-07,1.07739200293822e-05
"RPS19BP1","Active regulator of SIRT1",-1.31,"Up in X3H",5.78,-14.6529304880166,2.8036565433694e-08,16.65,5,1.65892357671167e-06,6.25551494048744e-08,6.38170377635589e-06
"DDX10","Probable ATP-dependent RNA helicase DDX10",-0.45,"Up in X3H",5.768,-14.5981103224586,2.91026403985854e-08,17.36,15,1.70495369543e-06,5.61455492736758e-07,2.20008751690291e-05
"GRWD1","Glutamate-rich WD repeat-containing protein 1",-0.58,"Up in X3H",5.759,-14.5537686749058,2.99973424913456e-08,17.85,12,1.74013995609109e-06,2.55769500971188e-07,1.42772465777973e-05
"TJP2","Tight junction protein ZO-2",-0.49,"Up in X3H",5.758,-14.5341134805177,3.04035039160929e-08,19.28,28,1.74657798710215e-06,7.97665684195448e-07,2.71252175481866e-05
"SFXN3","Sideroflexin-3",0.78,"Up in X5H",5.748,14.4867633701409,3.14068353161169e-08,20.12,19,1.78686773620638e-06,2.86150114349499e-07,1.46272803944411e-05
"GRSF1","G-rich sequence factor 1",-0.99,"Up in X3H",5.746,-14.4516320850642,3.21746081156179e-08,20.17,7,1.79409950001671e-06,1.03408433805361e-07,8.15832799854409e-06
"RFC4","Replication factor C subunit 4",-0.59,"Up in X3H",5.746,-14.4395407774058,3.24435772353876e-08,18.12,11,1.79409950001671e-06,2.29790529425414e-07,1.35967056261017e-05
"UTP6","U3 small nucleolar RNA-associated protein 6 homolog",-0.59,"Up in X3H",5.746,-14.4478010927309,3.22595634813691e-08,17.85,15,1.79409950001671e-06,3.60749517231684e-07,1.7076439147679e-05
"RPL11","60S ribosomal protein L11",-0.58,"Up in X3H",5.719,-14.3350568182695,3.48727725688251e-08,22.66,10,1.91057588231239e-06,2.00653479414147e-07,1.2824672876056e-05
"CCT2","T-complex protein 1 subunit beta",-0.31,"Non-significant",5.708,-14.2853463180312,3.60976421909183e-08,21.31,33,1.9595389802171e-06,5.47244132887194e-06,9.05738352361533e-05
"DCAF13","DDB1- and CUL4-associated factor 13",-0.82,"Up in X3H",5.704,-14.2581993583468,3.67863128185817e-08,17.64,10,1.97876920861407e-06,1.91412141101755e-07,1.25842848766565e-05
"PODXL","Podocalyxin",-1.86,"Up in X3H",5.698,-14.2279538235192,3.75705249842856e-08,16.96,4,2.00274591290106e-06,9.69631651583717e-08,8.15832799854409e-06
"NAT10","RNA cytidine acetyltransferase",-0.53,"Up in X3H",5.674,-14.1334147116102,4.01417903213055e-08,19.94,28,2.12070511902826e-06,7.8455559405607e-07,2.68336153180911e-05
"PARN","Poly(A)-specific ribonuclease PARN",-0.75,"Up in X3H",5.611,-13.9037514659696,4.72250337414599e-08,17.95,14,2.45114495305455e-06,3.43980643574879e-07,1.64139795809077e-05
"SON","Protein SON",-0.42,"Up in X3H",5.611,-13.9069756198079,4.71166273944663e-08,19.49,24,2.45114495305455e-06,1.56365875816422e-06,4.00526790998167e-05
"MPI","Mannose-6-phosphate isomerase",0.85,"Up in X5H",5.607,13.8790210777443,4.80656576111486e-08,18.32,9,2.47308257465362e-06,2.11873842910374e-07,1.29194110671084e-05
"RPL6","60S ribosomal protein L6",-0.43,"Up in X3H",5.58,-13.7801064255787,5.159497143862e-08,22.54,25,2.63178832760616e-06,1.48279376478756e-06,3.91682620814644e-05
"SPATS2L","SPATS2-like protein",-0.88,"Up in X3H",5.579,-13.7667637320354,5.2092308172034e-08,18.47,9,2.63444604661474e-06,2.2880950275373e-07,1.35967056261017e-05
"NCL","Nucleolin",-0.35,"Non-significant",5.567,-13.7162108801046,5.40246316892277e-08,24.15,44,2.70901479411153e-06,3.95973683645889e-06,7.47160095536454e-05
"ZFR","Zinc finger RNA-binding protein",-0.61,"Up in X3H",5.56,-13.6816622358496,5.53901558481892e-08,19.35,22,2.75414749709021e-06,6.59667351437161e-07,2.43678106497135e-05
"CPD","Carboxypeptidase D",-0.48,"Up in X3H",5.555,-13.6549438660122,5.6472020676331e-08,19.67,24,2.78454121951542e-06,1.18715678643067e-06,3.46029886961096e-05
"GBE1","1,4-alpha-glucan-branching enzyme",0.77,"Up in X5H",5.541,13.5983372505118,5.88410787432246e-08,20.33,25,2.87737737953438e-06,5.18986207674507e-07,2.13252874361809e-05
"NOL6","Nucleolar protein 6",-0.72,"Up in X3H",5.538,-13.5783764323518,5.97021533766007e-08,18.51,14,2.89555443876513e-06,4.31230156515357e-07,1.83567542165566e-05
"RPL37A","60S ribosomal protein L37a",-1.43,"Up in X3H",5.521,-13.5115344655152,6.26872191918444e-08,19.23,3,3.0156119996597e-06,4.36006662488901e-08,5.39620799863469e-06
"ARSA","Arylsulfatase A",0.95,"Up in X5H",5.505,13.4516685126843,6.54993449307124e-08,16.83,5,3.12548083834698e-06,7.88984757264372e-08,6.96779523691535e-06
"RPL10A","60S ribosomal protein L10a",-0.61,"Up in X3H",5.502,-13.4302603458189,6.65381401505311e-08,22.27,12,3.14964940216554e-06,4.64363928349299e-07,1.96260097431629e-05
"CHDH","Choline dehydrogenase, mitochondrial",0.3,"Non-significant",5.491,13.3823420696329,6.89290431681584e-08,21,22,3.23060859283064e-06,5.47270201687532e-06,9.05738352361533e-05
"DBT","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",0.54,"Up in X5H",5.491,13.3636608458073,6.98864120132367e-08,18.15,12,3.23060859283064e-06,5.47352888634026e-07,2.18830205543752e-05
"RBP2","Retinol-binding protein 2",1.26,"Up in X5H",5.491,13.3638782405015,6.987518796642e-08,18.74,2,3.23060859283064e-06,5.83826165572314e-10,4.31812427711423e-07
"CRYL1","Lambda-crystallin homolog",0.65,"Up in X5H",5.485,13.3057313757338,7.29485948967551e-08,19.71,13,3.27077846255812e-06,5.25150218481018e-07,2.14297506396702e-05
"CTR9","RNA polymerase-associated protein CTR9 homolog",-0.51,"Up in X3H",5.485,-13.3062657372085,7.29196881205604e-08,18.54,13,3.27077846255812e-06,6.77872977970497e-07,2.44984403649009e-05
"RPL7L1","60S ribosomal protein L7-like 1",-0.63,"Up in X3H",5.485,-13.3166603528856,7.23598605989351e-08,18.9,12,3.27077846255812e-06,4.85201590228033e-07,2.03612610594274e-05
"TRA2B","Transformer-2 protein homolog beta",-0.54,"Up in X3H",5.485,-13.305400576743,7.29664960381395e-08,20.95,12,3.27077846255812e-06,5.5959603603803e-07,2.20008751690291e-05
"SERPINH1","Serpin H1",-0.33,"Non-significant",5.478,-13.2711678897212,7.48451629942382e-08,20.58,21,3.32976563486397e-06,3.94762827155216e-06,7.47160095536454e-05
"CAT","Catalase",-0.37,"Non-significant",5.476,-13.2450292581193,7.63151624794498e-08,21.25,34,3.3427352243438e-06,3.64389115208125e-06,7.12346633193774e-05
"CDC5L","Cell division cycle 5-like protein",-0.47,"Up in X3H",5.476,-13.2359781706055,7.68315008468408e-08,19.87,23,3.3427352243438e-06,1.45479948550481e-06,3.87749934942882e-05
"RRM1","Ribonucleoside-diphosphate reductase large subunit",-1.19,"Up in X3H",5.476,-13.2373275046804,7.67542840891968e-08,17.39,13,3.3427352243438e-06,3.93544423276061e-07,1.77755904772859e-05
"CP","Ceruloplasmin",0.96,"Up in X5H",5.476,13.2024197345608,7.87794361927947e-08,16.31,8,3.34487760327825e-06,2.95282111488545e-07,1.48066462176078e-05
"GEMIN5","Gem-associated protein 5",-0.77,"Up in X3H",5.476,-13.1944033698031,7.92526852828501e-08,17.19,27,3.34487760327825e-06,6.63041662092931e-07,2.43678106497135e-05
"LRRC59","Leucine-rich repeat-containing protein 59",-0.45,"Up in X3H",5.476,-13.2113719294321,7.82545808688056e-08,22.6,19,3.34487760327825e-06,1.45066792214231e-06,3.87749934942882e-05
"PECR","Peroxisomal trans-2-enoyl-CoA reductase",0.45,"Up in X5H",5.476,13.205929540487,7.85732046459418e-08,21.5,22,3.34487760327825e-06,1.62727185212313e-06,4.07990150381888e-05
